"type";"title";"color";"id";"status";"tags";"description"
"chunk";"User Story Mapping";"transparent";;;;
"chunk";"Persona";"transparent";;;;
"chunk";"Big Activity (Epics)";"transparent";;;;
"chunk";"Narrative Flow (Features)";"transparent";;;;
"chunk";"MVP";"transparent";;;;
"chunk";"Release 1";"transparent";;;;
"chunk";"Release 2";"transparent";;;;
"sticky";"Получение информации о процессе миграции jar";"#29e3ff";;;;
"card";"Анализ файла ";"#fef5ad";"US_n";"{Ready,#00a2dd}";"{Разработчик,#00b3cd}";
"card";"Получение статистики по процессу миграции файла";"#fef5ad";"US_n";"{Ready,#00a2dd}";"{Разработчик,#00b3cd}";
"card";"Расчет влияния на модуль";"#fef5ad";"US_n";"{Ready,#00a2dd}";"{Разработчик,#00b3cd}";
"sticky";"Разработчик: Просмотр процесса миграции";"#ca65de";;;;
"textbox";"Разработчик";"#5987dc";;;;
"sticky";"Получение информации о процессе миграции модуля";"#29e3ff";;;;
"sticky";"Источники данных";"#ca65de";;;;
"sticky";"Интеграция с системой контроля версий";"#29e3ff";;;;
"card";"Интеграция с системой контроля версий ";"#fef5ad";"US_n";"{Ready,#00a2dd}";"{Разработчик,#00b3cd}";
"sticky";"Руководитель: Консистентность проектов";"#ca65de";;;;
"sticky";"Консистентность проектов";"#29e3ff";;;;
"card";"Автоматическая сборка проекта с сохранением файла в директории";"#fef5ad";"US_n";"{Ready,#00a2dd}";"{Руководитель миграции проекта,#fe8c00}";
"card";"Получение списка нерабочих файлов";"#fef5ad";"US_n";"{Ready,#00a2dd}";"{Руководитель миграции проекта,#fe8c00}";
"card";"Группировка по модулям";"#fef5ad";"US_n";"{Ready,#00a2dd}";"{Руководитель миграции проекта,#fe8c00}";
"sticky";"Запуск анализа проекта";"#29e3ff";;;;
"card";"Запуск анализа процесса миграции проекта";"#fef5ad";"US_n";"{Ready,#00a2dd}";"{Руководитель миграции проекта,#fe8c00}";
"sticky";"Руководитель: Запуск анализа";"#ca65de";;;;
"sticky";"Запуск анализа модуля в проекте";"#29e3ff";;;;
"card";"Получение списка файлов, относящихся к модулю";"#fef5ad";"US_n";"{To specify,#ff5c5c}";"{Руководитель миграции проекта,#fe8c00}";
"card";"Запуск анализа процесса миграции модуля";"#fef5ad";"US_n";"{To specify,#ff5c5c}";"{Руководитель миграции проекта,#fe8c00}";
"textbox";"Руководитель миграции проекта";"#5987dc";;;;
"sticky";"Привязать файл из системы контроля версий к модулю";"#29e3ff";;;;
"card";"Привязка файла из  системы контроля версий к модулю";"#fef5ad";"US_n";"{Ready,#00a2dd}";"{Руководитель миграции проекта,#fe8c00}";
"card";"Просмотр файлов в модуле";"#fef5ad";"US_n";"{Ready,#00a2dd}";"{Руководитель миграции проекта,#fe8c00}";
"card";"Просмотр файлов в проекте";"#fef5ad";"US_n";"{Ready,#00a2dd}";"{Руководитель миграции проекта,#fe8c00}";
"sticky";"Руководитель миграции проекта: привязка файла к модулю";"#ca65de";;;;
"sticky";"Открепить файл от модуля";"#29e3ff";;;;
"card";"Открепление файла из системы контроля версий от модуля";"#fef5ad";"US_n";"{Ready,#00a2dd}";"{Руководитель миграции проекта,#fe8c00}";
"card";"Изменение ссылки на ранее привязанный jar к модулю";"#fef5ad";"US_n";"{To specify,#ff5c5c}";"{Руководитель миграции проекта,#fe8c00}";
"sticky";"Отслеживание программной части модулей";"#29e3ff";;;;
"card";"Детализация по модулям";"#fef5ad";"US_n";"{To specify,#ff5c5c}";"{Руководитель миграции проекта,#fe8c00}";
"sticky";"Руководитель миграции проекта: Отслеживание состояния миграции проекта";"#ca65de";;;;
"sticky";"Отслеживание программной части проекта";"#29e3ff";;;;
"card";"Предоставление информации о миграции проекта (% завершенности)";"#fef5ad";"US_n";"{Ready,#00a2dd}";"{Руководитель миграции проекта,#fe8c00}";
"card";"Получение списка файлов, относящихся к проекту ";"#fef5ad";"US_n";"{Ready,#00a2dd}";"{Руководитель миграции проекта,#fe8c00}";
"sticky";"Просмотр детализации по модулям";"#29e3ff";;;;
"card";"Детализация по файлам";"#fef5ad";"US_n";"{To specify,#ff5c5c}";"{Руководитель миграции проекта,#fe8c00}";
"sticky";"Автоматизация анализа процесса миграции";"#29e3ff";;;;
"card";"Автоматический запуск анализа процесса миграции системы с определенной периодичностью";"#fef5ad";"US_n";"{To specify,#ff5c5c}";"{Руководитель,#f23930}";
"sticky";"Руководитель: Автоматизация сбора данных о миграции клиентской части";"#ca65de";;;;
"sticky";"Установка периодичности автоматического анализа";"#29e3ff";;;;
"card";"Изменение временного интервала между процессами";"#fef5ad";"US_n";"{To specify,#ff5c5c}";"{Руководитель,#f23930}";
"textbox";"Руководитель";"#5987dc";;;;
"sticky";"Руководитель: Запуск анализа ";"#ca65de";;;;
"sticky";"Запуск анализа системы";"#29e3ff";;;;
"card";"Запуск анализа  процесса миграции системы";"#fef5ad";"US_n";"{Ready,#00a2dd}";"{Руководитель,#f23930}";
"sticky";"Руководитель: Отслеживание состояния миграции ";"#ca65de";;;;
"sticky";"Отслеживание состояния клиентской части проектов";"#29e3ff";;;;
"card";"Предоставление информации о процессе миграции проектов (% завершенности и влияние на систему)";"#fef5ad";"US_n";"{Ready,#00a2dd}";"{Руководитель,#f23930}";
"card";"Ввод дополнительных метрик";"#fef5ad";"US_n";"{Todo,#dadde2}";"{Руководитель,#f23930}";